Date,Open,High,Low,Close,Adj Close,Volume
2015-05-04,1613.150024,1626.199951,1608.969971,1621.750000,1621.750000,0
2015-05-05,1628.989990,1639.739990,1597.079956,1597.890015,1597.890015,0
2015-05-06,1587.310059,1604.130005,1581.640015,1588.689941,1588.689941,0
2015-05-07,1587.709961,1592.109985,1560.119995,1588.000000,1588.000000,0
2015-05-08,1599.979980,1635.050049,1599.979980,1633.760010,1633.760010,0
2015-05-11,1643.329956,1643.329956,1631.130005,1640.319946,1640.319946,0
2015-05-12,1632.619995,1637.959961,1604.890015,1618.030029,1618.030029,0
2015-05-13,1616.449951,1634.150024,1608.400024,1613.300049,1613.300049,0
2015-05-14,1610.150024,1626.319946,1598.839966,1625.030029,1625.030029,0
2015-05-15,1620.040039,1635.439941,1610.949951,1616.089966,1616.089966,0
2015-05-18,1615.030029,1626.680054,1604.910034,1623.699951,1623.699951,0
2015-05-19,1632.109985,1650.979980,1625.739990,1649.780029,1649.780029,0
2015-05-20,1661.619995,1661.619995,1645.459961,1658.979980,1658.979980,0
2015-05-21,1656.589966,1665.439941,1650.250000,1664.349976,1664.349976,0
2015-05-22,1660.319946,1668.599976,1657.260010,1662.260010,1662.260010,0
2015-05-26,1672.579956,1672.579956,1642.290039,1647.969971,1647.969971,0
2015-05-27,1646.040039,1671.619995,1645.890015,1667.810059,1667.810059,0
2015-05-28,1667.180054,1667.420044,1652.290039,1660.329956,1660.329956,0
2015-05-29,1656.530029,1661.839966,1628.359985,1630.229980,1630.229980,0
2015-06-01,1632.670044,1645.979980,1628.290039,1630.880005,1630.880005,0
2015-06-02,1623.959961,1635.040039,1611.760010,1616.160034,1616.160034,0
2015-06-03,1609.650024,1631.349976,1609.650024,1614.160034,1614.160034,0
2015-06-04,1613.819946,1613.819946,1583.520020,1601.310059,1601.310059,0
2015-06-05,1604.729980,1604.729980,1577.739990,1587.689941,1587.689941,0
2015-06-08,1583.199951,1589.189941,1569.599976,1570.670044,1570.670044,0
2015-06-09,1559.979980,1571.270020,1549.369995,1564.530029,1564.530029,0
2015-06-10,1565.060059,1596.010010,1556.180054,1592.180054,1592.180054,0
2015-06-11,1591.829956,1612.579956,1586.880005,1601.469971,1601.469971,0
2015-06-12,1603.520020,1606.079956,1577.900024,1587.060059,1587.060059,0
2015-06-15,1587.660034,1587.930054,1560.319946,1561.560059,1561.560059,0
2015-06-16,1555.829956,1575.099976,1544.969971,1571.329956,1571.329956,0
2015-06-17,1567.640015,1576.719971,1559.219971,1564.199951,1564.199951,0
2015-06-18,1562.630005,1566.790039,1541.390015,1566.650024,1566.650024,0
2015-06-19,1573.900024,1586.239990,1568.680054,1571.920044,1571.920044,0
2015-06-22,1564.810059,1610.910034,1564.810059,1609.599976,1609.599976,0
2015-06-23,1626.829956,1635.880005,1614.359985,1627.089966,1627.089966,0
2015-06-24,1625.930054,1632.930054,1615.359985,1620.349976,1620.349976,0
2015-06-25,1618.540039,1629.880005,1607.930054,1616.369995,1616.369995,0
2015-06-26,1615.930054,1624.130005,1602.189941,1617.020020,1617.020020,0
2015-06-29,1620.459961,1620.709961,1565.609985,1572.869995,1572.869995,0
2015-06-30,1574.140015,1574.140015,1550.900024,1551.550049,1551.550049,0
2015-07-01,1552.260010,1587.229980,1551.969971,1576.010010,1576.010010,0
2015-07-02,1576.439941,1581.339966,1569.530029,1570.739990,1570.739990,0
2015-07-06,1562.079956,1562.339966,1537.229980,1541.900024,1541.900024,0
2015-07-07,1548.479980,1548.479980,1515.329956,1517.030029,1517.030029,0
2015-07-08,1512.859985,1527.160034,1511.489990,1519.069946,1519.069946,0
2015-07-09,1514.829956,1555.829956,1514.829956,1552.510010,1552.510010,0
2015-07-10,1541.180054,1586.280029,1541.180054,1584.550049,1584.550049,0
2015-07-13,1581.069946,1615.420044,1581.069946,1613.979980,1613.979980,0
2015-07-14,1618.900024,1623.270020,1606.979980,1622.550049,1622.550049,0
2015-07-15,1623.800049,1631.170044,1619.400024,1629.430054,1629.430054,0
2015-07-16,1631.119995,1657.290039,1630.949951,1652.040039,1652.040039,0
2015-07-17,1654.239990,1657.050049,1648.920044,1651.760010,1651.760010,0
2015-07-20,1652.449951,1664.959961,1651.250000,1657.280029,1657.280029,0
2015-07-21,1658.189941,1661.339966,1636.130005,1639.109985,1639.109985,0
2015-07-22,1635.449951,1639.979980,1625.579956,1629.339966,1629.339966,0
